epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5159,1.16921,6.53627,1.0024,0.0045,0.75,0.14061,0.10994,0.8056,3.69487,0.92762,1e-05,1e-05,1e-05
2,78.475,1.70139,3.76823,1.62862,0.00455,0.75,0.14187,0.11258,0.81809,3.68885,0.93752,2.9406e-05,2.9406e-05,2.9406e-05
3,104.33,0.38818,6.10721,0.52609,0.00455,0.75,0.14187,0.11258,0.81809,3.68885,0.93752,4.802e-05,4.802e-05,4.802e-05
4,137.37,2.57288,5.05048,2.4276,0.00466,0.75,0.15234,0.11077,0.83776,3.70124,0.94171,6.5842e-05,6.5842e-05,6.5842e-05
5,169.509,1.46643,4.03272,1.66808,0.00466,0.75,0.15234,0.11077,0.83776,3.70124,0.94171,8.2872e-05,8.2872e-05,8.2872e-05
6,206.64,1.98115,5.33225,1.72983,0.00466,0.75,0.15234,0.11077,0.83776,3.70124,0.94171,9.911e-05,9.911e-05,9.911e-05
7,244.956,1.05524,3.79012,1.09945,0.00466,0.75,0.15234,0.11077,0.83776,3.70124,0.94171,0.000114556,0.000114556,0.000114556
8,284.52,2.30012,6.81982,2.37497,0.00466,0.75,0.15234,0.11077,0.83776,3.70124,0.94171,0.00012921,0.00012921,0.00012921
9,320.29,1.72427,4.09975,1.72609,0.00466,0.75,0.15234,0.11077,0.83776,3.70124,0.94171,0.000143072,0.000143072,0.000143072
10,353.996,1.64778,4.47285,1.63512,0.00466,0.75,0.15234,0.11077,0.83776,3.70124,0.94171,0.000156142,0.000156142,0.000156142
11,386.427,1.64138,4.82208,1.52334,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.00016842,0.00016842,0.00016842
12,416.661,0.82565,4.25754,1.11393,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000179906,0.000179906,0.000179906
13,459.151,0.76329,3.73725,1.00095,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.0001906,0.0001906,0.0001906
14,491.17,0.95863,3.77924,1.2048,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000200502,0.000200502,0.000200502
15,518.206,1.06934,3.79338,1.20863,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000209612,0.000209612,0.000209612
16,549.49,0.58407,5.78545,0.61769,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.00021793,0.00021793,0.00021793
17,579.592,1.1058,3.75687,1.37096,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000225456,0.000225456,0.000225456
18,608.372,0.70467,3.5965,1.00828,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.00023219,0.00023219,0.00023219
19,638.442,0.85913,3.39434,1.08972,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000238132,0.000238132,0.000238132
20,670.059,0.85507,3.41522,1.10085,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000243282,0.000243282,0.000243282
21,701.682,0.68313,3.76304,1.04919,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.00024764,0.00024764,0.00024764
22,731.024,1.4615,4.16937,1.4526,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000251206,0.000251206,0.000251206
23,761.326,1.11787,3.79558,1.28064,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.00025398,0.00025398,0.00025398
24,797.203,0.76286,3.5653,1.10149,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000255962,0.000255962,0.000255962
25,830.485,2.78236,4.42745,2.46822,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000257152,0.000257152,0.000257152
26,856.69,1.12464,3.86021,1.11296,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.00025755,0.00025755,0.00025755
27,886.504,0.73013,3.93878,1.15657,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000257156,0.000257156,0.000257156
28,908.154,0.89063,3.70818,1.13093,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.00025597,0.00025597,0.00025597
29,929.684,1.70443,3.98746,1.52914,0.006,0.75,0.27313,0.20867,0.8511,3.73975,0.95041,0.000253992,0.000253992,0.000253992
30,950.771,0.20085,5.609,0.49917,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.000251222,0.000251222,0.000251222
31,971.936,0.40534,3.06462,0.9641,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.00024766,0.00024766,0.00024766
32,993.382,0.78301,3.26944,1.09478,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.000243306,0.000243306,0.000243306
33,1025.37,0.47029,3.35167,0.93049,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.00023816,0.00023816,0.00023816
34,1055.17,0.64151,3.24048,1.10325,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.000232222,0.000232222,0.000232222
35,1083.43,0.68499,3.27038,1.02037,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.000225492,0.000225492,0.000225492
36,1109.98,0.62597,3.41829,0.95383,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.00021797,0.00021797,0.00021797
37,1135.14,0.90572,3.39331,1.09545,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.000209656,0.000209656,0.000209656
38,1159.57,0.2331,5.58531,0.50817,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.00020055,0.00020055,0.00020055
39,1183.14,0.70391,3.3013,1.0226,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.000190652,0.000190652,0.000190652
40,1214.57,0.47307,3.04886,0.88738,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.000179962,0.000179962,0.000179962
41,1237.42,0.72005,3.78425,0.63616,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.00016848,0.00016848,0.00016848
42,1260.23,0.69701,4.0565,0.80513,0.00797,0.75,0.24025,0.15907,1.03147,3.77049,1.05332,0.000156206,0.000156206,0.000156206
