epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.411,1.06804,3.80793,1.29201,0.0126,0.75,0.28576,0.23076,0.69011,3.43058,0.88353,0.000329268,0.000329268,0.000329268
2,248.66,0.95302,3.07715,1.11896,0.7286,0.47917,0.29693,0.21997,0.91676,8.54625,1.09344,0.000649482,0.000649482,0.000649482
3,351.772,0.89495,2.62446,1.15828,0.74877,0.47917,0.2954,0.22251,0.87529,4.9695,1.04653,0.000956496,0.000956496,0.000956496
4,448.874,0.9438,2.51349,1.12579,0.74926,0.47845,0.28537,0.22318,0.84149,2.86041,0.93973,0.0009406,0.0009406,0.0009406
5,543.398,0.83801,2.82511,1.00211,0.72767,0.49306,0.31876,0.25568,0.78907,1.89215,0.96975,0.0009208,0.0009208,0.0009208
6,638.406,0.77778,2.47912,1.01613,0.74734,0.49306,0.33157,0.27611,0.74986,1.88213,0.9349,0.000901,0.000901,0.000901
7,732.508,0.8324,2.56163,1.01408,0.82949,0.34722,0.33293,0.26822,0.8133,1.99064,0.93358,0.0008812,0.0008812,0.0008812
8,825.867,0.79647,2.20952,1.06687,0.82799,0.3319,0.31716,0.25572,0.79898,2.00852,0.94781,0.0008614,0.0008614,0.0008614
9,921.337,0.80526,2.15901,1.0234,0.7436,0.47917,0.31876,0.26118,0.76375,1.86107,0.92592,0.0008416,0.0008416,0.0008416
10,1018.45,0.83616,2.20348,1.05998,0.7442,0.5,0.34243,0.27961,0.75189,1.84703,0.9235,0.0008218,0.0008218,0.0008218
11,1154.85,0.74686,2.02489,1.02745,0.74777,0.49478,0.33786,0.26584,0.81325,1.76536,0.92202,0.000802,0.000802,0.000802
12,1262.48,0.85734,2.17643,1.08354,0.7424,0.48724,0.35013,0.28243,0.73892,1.7216,0.90838,0.0007822,0.0007822,0.0007822
13,1359.32,0.76484,1.97924,0.9991,0.74134,0.44382,0.35828,0.29084,0.74661,1.72197,0.90078,0.0007624,0.0007624,0.0007624
14,1454.87,0.71369,2.26145,0.95682,0.74597,0.49306,0.35413,0.28876,0.73957,2.13412,0.91263,0.0007426,0.0007426,0.0007426
15,1550.82,0.7664,1.96562,1.04572,0.74774,0.49306,0.34225,0.27211,0.80273,2.19158,0.93672,0.0007228,0.0007228,0.0007228
16,1653.46,0.71997,2.15215,0.98023,0.78175,0.3879,0.36892,0.2941,0.79084,1.63259,0.90029,0.000703,0.000703,0.000703
17,1755.26,0.66185,2.31331,0.95762,0.81636,0.37902,0.59754,0.48688,0.74689,1.55194,0.87782,0.0006832,0.0006832,0.0006832
18,1858.02,0.79417,1.93325,1.05957,0.81942,0.39641,0.58763,0.47844,0.72622,1.71992,0.86404,0.0006634,0.0006634,0.0006634
19,1961.19,0.70275,1.80406,0.97779,0.80788,0.40873,0.5885,0.47821,0.71694,1.73395,0.86545,0.0006436,0.0006436,0.0006436
20,2072.51,0.75043,1.85018,0.9978,0.7999,0.44213,0.59793,0.5122,0.73363,1.51925,0.86468,0.0006238,0.0006238,0.0006238
21,2205.34,0.70719,1.90842,0.97075,0.80407,0.42617,0.61703,0.52009,0.74153,1.47184,0.86891,0.000604,0.000604,0.000604
22,2402.73,0.77355,1.9651,1.03132,0.81056,0.42507,0.43179,0.3493,0.73842,1.47441,0.86703,0.0005842,0.0005842,0.0005842
23,2538.24,0.71879,1.76247,1.00332,0.80269,0.40179,0.39544,0.32254,0.73787,1.40686,0.86394,0.0005644,0.0005644,0.0005644
24,2737.14,0.76835,1.76496,1.01629,0.82698,0.42325,0.41554,0.33694,0.74713,1.37074,0.868,0.0005446,0.0005446,0.0005446
25,2893.64,0.74121,1.629,1.02772,0.82439,0.4504,0.4341,0.35391,0.75932,1.35877,0.86739,0.0005248,0.0005248,0.0005248
26,3049.22,0.75314,1.85516,0.97794,0.8491,0.36409,0.41077,0.3348,0.75902,1.38374,0.85997,0.000505,0.000505,0.000505
