epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,342.228,0.69515,1.13494,0.95301,0.89424,0.48311,0.49489,0.42255,0.60559,0.72056,0.81092,0.0005941,0.0005941,0.0005941
43,350.918,0.66026,1.03731,0.93882,0.93967,0.44444,0.72835,0.61095,0.59166,0.62364,0.80177,0.0005842,0.0005842,0.0005842
44,359.058,0.6563,1.01467,0.92048,0.87487,0.49675,0.48629,0.41789,0.59758,0.71068,0.79691,0.0005743,0.0005743,0.0005743
45,366.729,0.59665,1.0346,0.9104,0.906,0.42436,0.47647,0.41114,0.64101,0.89072,0.81387,0.0005644,0.0005644,0.0005644
46,373.937,0.61251,1.10414,0.93261,0.80671,0.47605,0.47655,0.40404,0.6713,1.33763,0.83421,0.0005545,0.0005545,0.0005545
47,381.157,0.71572,1.12509,0.93926,0.89892,0.48016,0.73295,0.62943,0.66943,0.67333,0.83591,0.0005446,0.0005446,0.0005446
48,388.377,0.6066,1.10733,0.92789,0.92293,0.45148,0.73569,0.63402,0.65935,0.5773,0.82484,0.0005347,0.0005347,0.0005347
49,395.623,0.65208,1.05703,0.95303,0.94043,0.46291,0.61435,0.51493,0.66234,0.56542,0.82342,0.0005248,0.0005248,0.0005248
50,402.847,0.65,1.03759,0.93948,0.9784,0.4291,0.6151,0.51904,0.66932,0.54818,0.82634,0.0005149,0.0005149,0.0005149
51,410.304,0.65079,0.98624,0.92684,0.95116,0.4494,0.61531,0.51763,0.66489,0.56064,0.82595,0.000505,0.000505,0.000505
52,418.47,0.64405,1.02303,0.92062,0.92612,0.48852,0.61426,0.52317,0.5985,0.55623,0.79173,0.0004951,0.0004951,0.0004951
53,426.727,0.62228,1.13213,0.92814,0.93137,0.48947,0.74059,0.6236,0.6067,0.53143,0.79373,0.0004852,0.0004852,0.0004852
54,434.516,0.6415,1.00509,0.92653,0.95342,0.47983,0.74064,0.62673,0.61259,0.53917,0.79797,0.0004753,0.0004753,0.0004753
55,442.903,0.62673,0.98048,0.93546,0.97159,0.44782,0.74091,0.62726,0.57243,0.54252,0.78371,0.0004654,0.0004654,0.0004654
56,450.998,0.60868,0.9607,0.90542,0.95128,0.46037,0.61617,0.53806,0.61801,0.60374,0.79668,0.0004555,0.0004555,0.0004555
57,458.593,0.6583,1.07849,0.90548,0.82702,0.49068,0.49973,0.42334,0.67485,0.84649,0.82674,0.0004456,0.0004456,0.0004456
58,466.115,0.63005,0.97227,0.91764,0.81191,0.49603,0.49734,0.42768,0.63419,0.94661,0.80966,0.0004357,0.0004357,0.0004357
59,473.386,0.60908,0.96594,0.90512,0.81056,0.49603,0.49681,0.43138,0.605,0.94064,0.79726,0.0004258,0.0004258,0.0004258
60,480.639,0.64506,0.95233,0.90915,0.91485,0.42273,0.49713,0.42666,0.64341,0.79077,0.81043,0.0004159,0.0004159,0.0004159
61,487.991,0.61993,0.87162,0.93333,0.98767,0.4413,0.50398,0.43492,0.61819,0.53969,0.8039,0.000406,0.000406,0.000406
62,495.207,0.61119,0.86978,0.93729,0.95632,0.47264,0.50529,0.44062,0.58861,0.49792,0.79616,0.0003961,0.0003961,0.0003961
63,502.397,0.60162,0.90772,0.91382,0.96794,0.44444,0.55411,0.4775,0.58938,0.55965,0.78658,0.0003862,0.0003862,0.0003862
64,509.591,0.59012,0.88728,0.88749,0.96598,0.44444,0.5424,0.47035,0.5833,0.55974,0.78344,0.0003763,0.0003763,0.0003763
65,516.822,0.54123,0.84237,0.88623,0.94982,0.48411,0.53572,0.46918,0.57401,0.47796,0.78325,0.0003664,0.0003664,0.0003664
66,524.018,0.58862,0.89379,0.91086,0.97662,0.48377,0.50622,0.44127,0.5773,0.45917,0.78601,0.0003565,0.0003565,0.0003565
67,531.162,0.58288,0.84062,0.90629,0.98611,0.4473,0.50484,0.44182,0.57371,0.47465,0.7871,0.0003466,0.0003466,0.0003466
68,538.354,0.56369,0.81361,0.89005,0.97992,0.45026,0.51492,0.44581,0.58241,0.48764,0.78795,0.0003367,0.0003367,0.0003367
69,545.654,0.59618,0.85136,0.88864,0.96245,0.48728,0.54411,0.473,0.58426,0.49585,0.78726,0.0003268,0.0003268,0.0003268
70,552.806,0.60473,0.79025,0.89609,0.95803,0.49076,0.57734,0.50224,0.58913,0.49229,0.78831,0.0003169,0.0003169,0.0003169
71,560.006,0.59622,0.8715,0.91242,0.9851,0.44126,0.57818,0.50433,0.59879,0.52248,0.79514,0.000307,0.000307,0.000307
72,567.165,0.63176,0.91557,0.93877,0.93862,0.48438,0.57797,0.50988,0.58768,0.54724,0.79111,0.0002971,0.0002971,0.0002971
73,574.373,0.555,0.86668,0.91524,0.92796,0.44387,0.61779,0.55387,0.57748,0.61779,0.79157,0.0002872,0.0002872,0.0002872
74,581.633,0.74124,0.97434,1.0631,0.92153,0.44414,0.61831,0.55329,0.57758,0.63133,0.79277,0.0002773,0.0002773,0.0002773
75,588.784,0.6137,0.89842,0.92493,0.92455,0.45101,0.74433,0.67898,0.57705,0.59987,0.79293,0.0002674,0.0002674,0.0002674
76,596.019,0.68141,0.8484,0.9529,0.94862,0.48599,0.74476,0.68149,0.57452,0.47312,0.78636,0.0002575,0.0002575,0.0002575
77,603.214,0.60636,0.837,0.91387,0.98253,0.47917,0.74362,0.65598,0.577,0.48533,0.78867,0.0002476,0.0002476,0.0002476
78,610.49,0.5958,0.89533,0.89778,0.98233,0.39937,0.50475,0.44097,0.58923,0.63716,0.7963,0.0002377,0.0002377,0.0002377
79,617.67,0.57978,0.86202,0.91661,0.95983,0.3994,0.49918,0.43123,0.6052,0.69587,0.80449,0.0002278,0.0002278,0.0002278
80,624.842,0.54677,0.79946,0.88011,0.90309,0.49358,0.50464,0.43755,0.60216,0.60422,0.80365,0.0002179,0.0002179,0.0002179
81,632.148,0.58111,0.85421,0.91064,0.97576,0.45296,0.55702,0.49082,0.58642,0.4583,0.79513,0.000208,0.000208,0.000208
82,639.324,0.54396,0.77776,0.90611,0.95997,0.48887,0.61897,0.54655,0.58075,0.43515,0.7918,0.0001981,0.0001981,0.0001981
83,646.494,0.56183,0.82042,0.89751,0.94973,0.49696,0.74377,0.65938,0.58297,0.42929,0.79191,0.0001882,0.0001882,0.0001882
84,653.699,0.54063,0.76384,0.89316,0.95522,0.49561,0.61996,0.54508,0.59196,0.42013,0.79528,0.0001783,0.0001783,0.0001783
85,660.931,0.53477,0.76049,0.88031,0.95667,0.49113,0.57829,0.50629,0.59793,0.41827,0.79774,0.0001684,0.0001684,0.0001684
86,668.16,0.54748,0.77924,0.88335,0.98235,0.48842,0.5783,0.50436,0.60106,0.42332,0.79932,0.0001585,0.0001585,0.0001585
87,675.417,0.51593,0.68827,0.87367,0.9775,0.48598,0.57822,0.50941,0.59247,0.43166,0.79826,0.0001486,0.0001486,0.0001486
88,682.625,0.51994,0.68952,0.89793,0.98303,0.4854,0.57818,0.5207,0.58488,0.42631,0.79531,0.0001387,0.0001387,0.0001387
89,689.917,0.56252,0.75688,0.91176,0.97128,0.48786,0.61964,0.5527,0.57226,0.41712,0.78979,0.0001288,0.0001288,0.0001288
90,697.148,0.50556,0.81049,0.89111,0.95721,0.5,0.61989,0.55051,0.56598,0.417,0.7871,0.0001189,0.0001189,0.0001189
91,724.313,0.51664,0.98083,0.88939,0.95551,0.5,0.57847,0.51702,0.56477,0.42272,0.78684,0.000109,0.000109,0.000109
92,731.583,0.57138,0.94114,0.87526,0.9516,0.49613,0.57834,0.5104,0.56295,0.43904,0.78566,9.91e-05,9.91e-05,9.91e-05
93,738.825,0.49923,0.96598,0.84599,0.9669,0.48511,0.57853,0.5092,0.56515,0.45287,0.78629,8.92e-05,8.92e-05,8.92e-05
94,746.018,0.52288,1.03908,0.84427,0.97927,0.47916,0.51358,0.45255,0.57025,0.47749,0.78911,7.93e-05,7.93e-05,7.93e-05
95,753.225,0.55705,0.98186,0.89775,0.98342,0.49306,0.51219,0.45349,0.57111,0.48869,0.79095,6.94e-05,6.94e-05,6.94e-05
96,760.393,0.5013,0.93587,0.88854,0.98122,0.49306,0.51219,0.45212,0.57168,0.48688,0.79217,5.95e-05,5.95e-05,5.95e-05
97,767.708,0.51192,0.87804,0.88533,0.96609,0.48611,0.52642,0.46502,0.56671,0.45602,0.79131,4.96e-05,4.96e-05,4.96e-05
98,774.949,0.51708,0.86249,0.86541,0.96206,0.48611,0.53678,0.4756,0.56412,0.44045,0.79006,3.97e-05,3.97e-05,3.97e-05
99,782.125,0.49981,0.8678,0.86704,0.96246,0.48611,0.53086,0.47511,0.56139,0.43533,0.78921,2.98e-05,2.98e-05,2.98e-05
100,789.809,0.50872,0.87473,0.84557,0.96479,0.49214,0.53718,0.48177,0.56127,0.42753,0.78877,1.99e-05,1.99e-05,1.99e-05
