epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2364.03,0.71992,0.50359,0.96984,0.94361,0.9746,0.96839,0.79081,0.72432,0.42775,0.8942,0.000848969,0.000848969,0.000848969
43,2419.3,0.68037,0.50016,0.965,0.97429,0.94603,0.97522,0.79819,0.77177,0.39385,0.92721,0.000834822,0.000834822,0.000834822
44,2474.48,0.68098,0.4674,0.95421,0.98335,0.94603,0.97662,0.79415,0.75243,0.40315,0.91791,0.000820675,0.000820675,0.000820675
45,2529.57,0.67911,0.47999,0.96225,0.96853,0.9746,0.97842,0.8099,0.71614,0.36467,0.91051,0.000806528,0.000806528,0.000806528
46,2584.87,0.66095,0.46121,0.95117,0.9753,0.9746,0.98034,0.81636,0.71599,0.38615,0.89681,0.00079238,0.00079238,0.00079238
47,2640.19,0.68796,0.46041,0.96816,0.98064,0.94692,0.97674,0.80567,0.71102,0.39458,0.89975,0.000778233,0.000778233,0.000778233
48,2695.6,0.67687,0.483,0.9672,0.97766,0.94732,0.9762,0.79588,0.73459,0.38044,0.90854,0.000764086,0.000764086,0.000764086
49,2750.55,0.68233,0.44826,0.96118,0.98175,0.94712,0.97749,0.80072,0.76869,0.40031,0.91494,0.000749939,0.000749939,0.000749939
50,2805.73,0.62614,0.43694,0.93098,0.985,0.94603,0.9704,0.80317,0.71359,0.41709,0.90593,0.000735792,0.000735792,0.000735792
51,2861.04,0.67709,0.42723,0.97399,0.96468,0.9746,0.97379,0.81011,0.6997,0.36343,0.90209,0.000721645,0.000721645,0.000721645
52,2916.16,0.6632,0.47016,0.96725,0.97436,0.9746,0.97661,0.81424,0.70161,0.34739,0.88381,0.000707498,0.000707498,0.000707498
53,2972.39,0.65998,0.44602,0.94645,0.97582,0.94662,0.97792,0.80621,0.71186,0.38098,0.89579,0.000693351,0.000693351,0.000693351
54,3027.5,0.69375,0.45826,0.96675,0.95694,0.9746,0.97781,0.8133,0.71444,0.35807,0.89866,0.000679204,0.000679204,0.000679204
55,3082.63,0.6776,0.43068,0.95936,0.98007,0.9746,0.98115,0.82057,0.71107,0.3703,0.89501,0.000665057,0.000665057,0.000665057
56,3138.14,0.63772,0.41444,0.94777,0.98219,0.9746,0.98053,0.8143,0.71545,0.38787,0.89412,0.000650909,0.000650909,0.000650909
57,3193.75,0.6865,0.42605,0.96736,0.98276,0.9746,0.97836,0.79706,0.76071,0.39659,0.93937,0.000636762,0.000636762,0.000636762
58,3248.94,0.66767,0.42746,0.94085,0.98549,0.94603,0.97204,0.79142,0.75072,0.39587,0.91411,0.000622615,0.000622615,0.000622615
59,3311.03,0.68632,0.41551,0.96202,0.98543,0.94603,0.97184,0.80531,0.72816,0.38124,0.90623,0.000608468,0.000608468,0.000608468
60,3398.29,0.66534,0.4095,0.97758,0.96796,0.97086,0.97465,0.81748,0.70994,0.3603,0.90093,0.000594321,0.000594321,0.000594321
61,3459.96,0.65298,0.42273,0.95894,0.99359,0.9746,0.98125,0.81872,0.71465,0.35638,0.89973,0.000580174,0.000580174,0.000580174
62,3520.39,0.63331,0.39471,0.96528,0.98134,0.9746,0.97562,0.80615,0.72626,0.35307,0.89437,0.000566027,0.000566027,0.000566027
63,3599.28,0.63214,0.38599,0.93993,0.97415,0.9746,0.97632,0.7955,0.75865,0.37065,0.9165,0.00055188,0.00055188,0.00055188
64,3662.03,0.63836,0.39182,0.93255,0.98439,0.96743,0.96868,0.79302,0.78251,0.40022,0.93835,0.000537733,0.000537733,0.000537733
65,3725.57,0.62106,0.39489,0.9403,0.97781,0.97311,0.9696,0.79531,0.77138,0.39562,0.93912,0.000523586,0.000523586,0.000523586
66,3789.67,0.62725,0.41325,0.92834,0.98538,0.9746,0.96839,0.79257,0.74515,0.39517,0.91859,0.000509438,0.000509438,0.000509438
67,3851.54,0.6461,0.39995,0.93781,0.98326,0.9746,0.97425,0.8085,0.73139,0.35482,0.91247,0.000495291,0.000495291,0.000495291
68,3914.54,0.61659,0.39622,0.93369,0.98601,0.9746,0.97405,0.80335,0.73764,0.36387,0.91739,0.000481144,0.000481144,0.000481144
69,3984.3,0.61021,0.37101,0.93344,0.96967,0.9746,0.9732,0.80555,0.74064,0.37339,0.91131,0.000466997,0.000466997,0.000466997
70,4055.88,0.61744,0.41277,0.9343,0.97455,0.9746,0.9805,0.8111,0.74714,0.34266,0.90048,0.00045285,0.00045285,0.00045285
71,4160.3,0.62559,0.38595,0.9423,0.97222,0.9746,0.97446,0.80899,0.72025,0.34453,0.89073,0.000438703,0.000438703,0.000438703
72,4244.76,0.62415,0.38106,0.94735,0.97066,0.9746,0.97063,0.8044,0.73615,0.36501,0.92415,0.000424556,0.000424556,0.000424556
