epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6228,0.80147,2.91013,1.12498,0.05952,0.98214,0.98533,0.73022,0.79262,2.21259,0.93624,0.000327273,0.000327273,0.000327273
2,77.6507,0.82515,1.78514,1.0749,1,0.9285,0.97936,0.78826,0.73783,1.17152,0.90375,0.000654066,0.000654066,0.000654066
3,119.469,0.75417,1.48256,1.0424,1,0.98053,0.98519,0.75008,0.85312,0.97455,1.05552,0.000974259,0.000974259,0.000974259
4,158.792,0.74396,1.36451,1.00295,0.99896,0.98214,0.9852,0.673,1.21662,1.00399,1.11079,0.0009703,0.0009703,0.0009703
5,199.602,0.74932,1.25257,1.00743,0.99891,0.98214,0.98523,0.79075,0.79344,0.63263,0.91962,0.0009604,0.0009604,0.0009604
6,246.336,0.75106,1.22507,1.02951,0.99897,0.98214,0.98514,0.77763,0.81708,0.63036,0.92186,0.0009505,0.0009505,0.0009505
7,291.408,0.68337,1.08771,0.96761,0.99903,0.98214,0.98507,0.78563,0.7935,0.68545,0.94148,0.0009406,0.0009406,0.0009406
8,337.418,0.72126,1.06913,0.97134,0.99907,0.98214,0.98507,0.76896,0.86416,0.60243,0.95761,0.0009307,0.0009307,0.0009307
9,384.951,0.71367,1.06039,1.00277,0.99901,0.98214,0.98507,0.76361,0.85459,0.68343,0.9352,0.0009208,0.0009208,0.0009208
10,429.69,0.66794,1.04511,0.97225,0.99908,0.98214,0.98513,0.75858,0.85014,0.77981,0.94434,0.0009109,0.0009109,0.0009109
11,474.598,0.69618,1.00727,0.98172,0.99905,0.98214,0.98512,0.77233,0.84178,0.5987,0.94438,0.000901,0.000901,0.000901
12,520.549,0.68473,0.98776,0.99186,0.99882,0.98214,0.98509,0.71709,0.98132,0.6104,1.04926,0.0008911,0.0008911,0.0008911
13,566.988,0.66381,0.90385,0.94158,0.99902,0.98214,0.98509,0.75926,0.88043,0.4953,0.93641,0.0008812,0.0008812,0.0008812
14,611.771,0.64887,0.87178,0.95228,0.99882,0.98214,0.98508,0.73358,0.87204,0.57733,0.93101,0.0008713,0.0008713,0.0008713
15,657.171,0.6926,0.8825,0.98226,0.99905,0.98214,0.98508,0.80186,0.76795,0.50017,0.89874,0.0008614,0.0008614,0.0008614
